,pass_inc,pass_td_lng,fum,rush_yd,pass_td,rush_rz_att,pass_yd,pass_fd,pass_cmp_40p,cmp_pct,pass_cmp,off_snp,pass_sack,gs,pass_td_50p,bonus_pass_yd_300,pass_rz_att,rush_att,pass_att,rush_fd,bonus_pass_cmp_25,pass_rtg,pass_td_40p,pass_lng,rush_td,pass_sack_yds,penalty,bonus_pass_yd_400,gp,pass_air_yd,pass_int,rush_lng,calculated_fpts,fum_lost,pass_2pt,bonus_fd_qb,pass_rush_yd
131,192.0,292.0,8.0,94.0,26.0,7.0,3695.0,151.0,6.0,1108.19,350.0,1008.0,32.0,17.0,1.0,0.0,75.0,34.0,542.0,8.0,3.0,1592.5,1.0,605.0,1.0,258.0,2.0,0.0,17.0,1818.0,12.0,66.0,324.0666633630792,4.0,2.0,159.0,3789.0
132,243.0,202.0,5.0,-1.0,25.0,9.0,4694.0,212.0,8.0,1143.37,490.0,1161.0,22.0,17.0,2.0,4.0,97.0,29.0,733.0,4.0,13.0,1564.2,2.0,587.0,1.0,160.0,3.0,1.0,17.0,2379.0,9.0,7.0,425.4433291365703,4.0,2.0,216.0,4693.0
133,123.0,216.0,5.0,764.0,17.0,19.0,2242.0,88.0,4.0,752.21,203.0,728.0,26.0,12.0,2.0,1.0,56.0,112.0,326.0,43.0,1.0,1070.7,2.0,401.0,3.0,114.0,2.0,0.0,12.0,1271.0,7.0,271.0,313.86333132882913,2.0,1.0,131.0,3006.0
134,5.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,40.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,87.5,0.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,-1.9300000071525574,0.0,0.0,0.0,8.0
135,222.0,277.0,8.0,147.0,25.0,6.0,4739.0,203.0,7.0,1167.95,477.0,1107.0,38.0,17.0,1.0,5.0,98.0,54.0,699.0,17.0,12.0,1611.3,1.0,621.0,0.0,206.0,0.0,0.0,17.0,2232.0,10.0,104.0,439.9433290615678,3.0,1.0,220.0,4886.0
136,213.0,366.0,5.0,358.0,41.0,14.0,5250.0,231.0,13.0,1138.05,435.0,1131.0,26.0,17.0,1.0,8.0,123.0,61.0,648.0,21.0,10.0,1798.4,4.0,734.0,4.0,188.0,0.0,2.0,17.0,2359.0,12.0,161.0,606.7666619936625,0.0,2.0,252.0,5608.0
137,113.0,160.0,3.0,98.0,13.0,7.0,2536.0,102.0,10.0,788.51,212.0,686.0,33.0,12.0,1.0,1.0,50.0,34.0,325.0,10.0,1.0,1115.1,1.0,490.0,2.0,238.0,1.0,0.0,12.0,1363.0,6.0,74.0,213.47333106597264,2.0,1.0,112.0,2634.0
138,219.0,303.0,7.0,97.0,29.0,6.0,4547.0,201.0,10.0,1127.01,424.0,1076.0,46.0,17.0,1.0,1.0,99.0,31.0,643.0,9.0,8.0,1577.6,2.0,691.0,2.0,329.0,3.0,2.0,17.0,2575.0,14.0,82.0,400.0966626013319,3.0,3.0,210.0,4644.0
139,101.0,189.0,3.0,33.0,16.0,5.0,2437.0,98.0,2.0,722.64,207.0,614.0,18.0,10.0,1.0,1.0,43.0,23.0,308.0,9.0,3.0,1127.0,1.0,408.0,2.0,100.0,0.0,0.0,11.0,993.0,4.0,26.0,239.6799978211522,2.0,0.0,107.0,2470.0
140,98.0,162.0,7.0,96.0,12.0,4.0,1859.0,81.0,5.0,560.11,161.0,614.0,19.0,9.0,0.0,0.0,33.0,28.0,259.0,5.0,1.0,809.5,1.0,354.0,1.0,141.0,0.0,0.0,9.0,1073.0,6.0,55.0,138.5099983379245,5.0,0.0,86.0,1955.0
141,1.0,0.0,0.0,3.0,0.0,1.0,10.0,1.0,0.0,50.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,64.6,0.0,10.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,0.8499999910593032,0.0,0.0,1.0,13.0
142,68.0,47.0,2.0,6.0,5.0,0.0,1051.0,47.0,2.0,428.31,94.0,335.0,7.0,5.0,0.0,0.0,18.0,9.0,162.0,1.0,0.0,618.8,0.0,202.0,0.0,49.0,1.0,0.0,9.0,596.0,3.0,9.0,62.18999906033278,0.0,0.0,48.0,1057.0
143,152.0,134.0,15.0,70.0,14.0,4.0,3057.0,142.0,2.0,800.02,309.0,846.0,38.0,12.0,0.0,3.0,52.0,27.0,461.0,8.0,6.0,996.7,0.0,389.0,1.0,287.0,1.0,0.0,12.0,1623.0,13.0,70.0,205.44666393349564,5.0,0.0,150.0,3127.0
144,7.0,63.0,0.0,-1.0,1.0,0.0,195.0,8.0,1.0,263.34,14.0,26.0,0.0,0.0,1.0,0.0,1.0,1.0,21.0,0.0,0.0,392.0,1.0,101.0,0.0,0.0,0.0,0.0,4.0,78.0,0.0,-1.0,18.483333158989748,0.0,0.0,8.0,194.0
